Long/Lat,Job Number,Job Name,City-County,St-Prov,FRLA Plans?,Date range,Project Type,Icon,Archival records,Images
"41.510551,-71.308128",06775,Miantonomi Memorial Park,Newport,Rhode Island,1,1921,"01 Parks, Parkways & Recreation Areas",terrain,,
"41.728985, -72.673509",00808,Southern Parkway,Hartford,Connecticut,1,1897,"01 Parks, Parkways & Recreation Areas",terrain,,
"41.776096, -87.636845",01911,Normal Avenue,Chicago,Illinois,1,1908,"01 Parks, Parkways & Recreation Areas",terrain,,
"41.798191,-124.084023",08334,Mill Creek Redwoods,,California,1,1939,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.29008, -71.048439",00950-29,Boston Parks - Spaulding Square,Dorchester,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.307878, -71.063401",00950-10,Boston Parks - Eaton Square,Dorchester,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.312835, -71.083044",00950-12,Boston Parks - Elm Hill Park,Roxbury,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.315593, -71.096106",00950-34,Boston Parks - Walnut Park,Roxbury,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.319353, -71.087581",00950-15,Boston Parks - Harold Square,Roxbury,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.322096, -71.063819",00950-07,Boston Parks - City Greenhouse Grounds,Dorchester,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.324959, -71.098244",00950-18,Boston Parks - Jackson Square,Roxbury,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.32503, -71.089389",00950-05,Boston Parks - Cedar Square,Roxbury,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.32589, -71.099489",00950-04,Boston Parks - Bromley Park,Roxbury,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.32601, -71.100269",00950-16,Boston Parks - Heath Square,Roxbury,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.327435, -71.077024",00951-F,Dudley Street,Boston,Massachusetts,1,1912,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.32778, -71.092479",00950-19,Boston Parks - Lewis Park,Roxbury,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.32867, -71.094999",00950-21,Boston Parks - Linwood Park,Roxbury,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.329722, -71.090833",00951-G,Eliot Square,Boston,Massachusetts,1,1912,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.334326, -71.112365",01303,Brookline Avenue Playground,Brookline,Massachusetts,1,1897,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.35035, -71.147809",00950-28,Boston Parks - Sparhawk Square,Brighton,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.359585, -71.133294",00950-13,Boston Parks - Fern Square,Brighton,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.359661, -71.071562",05516,Charles River Square,Boston,Massachusetts,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.368985,-71.039414",00959,Maverick Square,East Boston,Massachusetts,1,1911,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.488049,-70.986832",03314,Lynn Woods,Lynn,Massachusetts,1,1892,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.90159, -78.892951",00714,Prospect Park,Buffalo,New York,1,1876,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.905881, -78.836646",00712,Parade Refectory,Buffalo,New York,1,1876,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.931782, -78.857986",00719,Delaware Park,Buffalo,New York,1,N.D.,"01 Parks, Parkways & Recreation Areas",terrain,,
"43.152507, -77.605051",01119,Parade Grounds,Rochester,New York,1,1909,"01 Parks, Parkways & Recreation Areas",terrain,,
"44.030193, -71.688033",00221,Fay Reservation,North Woodstock,New Hampshire,1,1903,"01 Parks, Parkways & Recreation Areas",terrain,,
"44.318036, -69.776218",07730,Augusta Playground,Augusta,Maine,1,1926,"01 Parks, Parkways & Recreation Areas",terrain,,
"44.355984, -68.185186",03800,Ocean Drive & Newport Mt.,Bar Harbor,Maine,1,1906,"01 Parks, Parkways & Recreation Areas",terrain,,
"45.432375,-122.666119",02641,Hillside Parkway,Portland,Oregon,1,1908,"01 Parks, Parkways & Recreation Areas",terrain,,
"45.554929, -73.638611",05000,Montreal City Improvement,Montreal,Quebec,1,1910,"01 Parks, Parkways & Recreation Areas",terrain,,
"46.063465, -118.342495",03230,Walla Walla Parks,Walla Walla,Washington,1,1906,"01 Parks, Parkways & Recreation Areas",terrain,,
"46.588829,-87.385437",00092,Marquette Park,Marquette,Michigan,1,1895,"01 Parks, Parkways & Recreation Areas",terrain,,https://www.flickr.com/photos/olmsted_archives/sets/72157636050993225/
"47.565523,-122.38512",02723,West Seattle Parkway,Seattle,Washington,1,1911,"01 Parks, Parkways & Recreation Areas",terrain,,
"47.603215,-122.284579",02718,Lake Washington Boulevard,Seattle,Washington,1,1909,"01 Parks, Parkways & Recreation Areas",terrain,,
"47.628448, -122.312531",02715b,Green Lake Intermediate Service Reservoir,Seattle,Washington,1,1907,"01 Parks, Parkways & Recreation Areas",terrain,,
"47.64161,-122.316072",02713,Interlaken Boulevard,Seattle,Washington,1,1908,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.769664,-104.970862 ",05595,Thirty-eighth Street Playground,Denver,Colorado,1,1913,"01 Parks, Parkways & Recreation Areas",terrain,,
To Be Determined,00809,South Western Parkway,Hartford,Connecticut,1,1896,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.313227,-71.14126",01307,Clyde Street Playground,Brookline,Massachusetts,1,1903-1904,"01 Parks, Parkways & Recreation Areas",terrain,,https://www.flickr.com/photos/olmsted_archives/sets/72157638350923416/
"42.224958,-71.136732",01535,Neponset River Reservation - Sec. E,Pauls Bridge,Massachusetts,1,1898-1899,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.426666,-71.081371",01695,Oldway Place,Malden,Massachusetts,1,1894,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.339538,-71.134448",10182,Town of Brookline Park Department,Brookline,Massachusetts,1,1965,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.75508,-70.821047",02050,Trustees of Reservations,Boston,Massachusetts,1,1941,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.327839,-71.121338",10228,Walnut Place Neighborhood Park,Brookline,Massachusetts,1,1967,"01 Parks, Parkways & Recreation Areas",terrain,,
To Be Determined,02129,South Orange Parkway,Newark,New Jersey,1,1903,"01 Parks, Parkways & Recreation Areas",terrain,,
"40.780931,-74.237409",02134,West Orange Park,Essex County,New Jersey,1,1904,"01 Parks, Parkways & Recreation Areas",terrain,,
"43.120908,-75.242786",03186,Erie Canal Abandonment,Utica,New York,1,1919,"01 Parks, Parkways & Recreation Areas",terrain,,
"43.09803,-75.212241",03182,Jay Street Playground,Utica,New York,1,1910,"01 Parks, Parkways & Recreation Areas",terrain,,
"42.786205,-77.509918",07822,Rochester New Reservoir,Rochester,New York,1,1922,"01 Parks, Parkways & Recreation Areas",terrain,,
"40.961501,-73.680775",03600,Rye Park,Rye,New York,1,1908-1909,"01 Parks, Parkways & Recreation Areas",terrain,,
"43.132991,-77.610898",01117,Warner Tract,Rochester,New York,1,1908,"01 Parks, Parkways & Recreation Areas",terrain,,
"43.10497,-75.234128",03183,Whitesboro Street Playground,Utica,New York,1,1909,"01 Parks, Parkways & Recreation Areas",terrain,,
"39.956045,-76.726865",03256,Penn Park,York,Pennsylvania,1,1898,"01 Parks, Parkways & Recreation Areas",terrain,,
To Be Determined,02247,Punxsutawney Iron Company,Punxsutawney,Pennsylvania,1,1900,"01 Parks, Parkways & Recreation Areas",terrain,,
"41.848194,-71.428495",03504,West River Park,Providence,Rhode Island,1,1908,"01 Parks, Parkways & Recreation Areas",terrain,,
,12508,Unnamed Parkway,Richmond,Virginia,1,1890,"01 Parks, Parkways & Recreation Areas",terrain,,
,03680,Washington's Birth Place,Wakefield,Virginia,1,1926,"01 Parks, Parkways & Recreation Areas",terrain,,
"28.038652,-81.948566",06998,Lakeland City Plan,Lakeland,Florida,1,1918,02 City & Regional Planning & Improvement Projects,rec_bus,,
"29.202521,-81.01799",06724,Triple Cities Chamber of Commerce,Daytona/D. Beach/Seabreez,Florida,1,1912,02 City & Regional Planning & Improvement Projects,rec_bus,,
"29.241548,-81.035156",07398,Daytona River Front Improvement,Daytona,Florida,1,1925,02 City & Regional Planning & Improvement Projects,rec_bus,,
"33.484288,-86.90958",03913,Corey Land Company,Corey,Alabama,1,1909,02 City & Regional Planning & Improvement Projects,rec_bus,,
"33.747537,-84.390106",02746,Atlanta City Plan,Atlanta,Georgia,1,1921,02 City & Regional Planning & Improvement Projects,rec_bus,,
"35.685605,-105.938072",05551,Santa Fe,Santa Fe,New Mexico,1,1912,02 City & Regional Planning & Improvement Projects,rec_bus,,
"37.58295,-122.367096",06257,Burlingame City California Garden City,Burlingame,California,1,1915,02 City & Regional Planning & Improvement Projects,rec_bus,,
"40.219585,-74.01309",02633,Asbury Park,Asbury,New Jersey,1,1893; 1903,02 City & Regional Planning & Improvement Projects,rec_bus,,
"40.439696,-79.996176",03464,Pittsburgh Citizens Committee on City Plans,Pittsburgh,Pennsylvania,1,1924,02 City & Regional Planning & Improvement Projects,rec_bus,,
"40.75844,-74.416752",03431,"Madison, Borough of",Morris County,New Jersey,1,1895,02 City & Regional Planning & Improvement Projects,rec_bus,,
"42.240147,-83.615055",03623,Ypsilanti City Report,Ypsilanti,Michigan,1,1913,02 City & Regional Planning & Improvement Projects,rec_bus,,
"42.323207,-71.127548",12042,Brookline Streets (4/2),Brookline,Massachusetts,1,1894,02 City & Regional Planning & Improvement Projects,rec_bus,,
"42.332233,-71.121132",09371,Brookline Cooperative Civic Progress Association,Brookline,Massachusetts,1,1935,02 City & Regional Planning & Improvement Projects,rec_bus,,
"42.576976,-70.768948",00272,"Manchester, Town of",Manchester,Massachusetts,1,1906,02 City & Regional Planning & Improvement Projects,rec_bus,,
"42.657697,-71.13699",02284,"Andover, Town of",Andover,Massachusetts,1,1901,02 City & Regional Planning & Improvement Projects,rec_bus,,
"42.898446,-78.801155",00708,Improvement of Batavia Street,Buffalo,New York,1,N.D.,02 City & Regional Planning & Improvement Projects,rec_bus,,
"42.961448,-85.667953",03450,Grand Rapids,Grand Rapids,Michigan,1,1906,02 City & Regional Planning & Improvement Projects,rec_bus,,
"34.062615,-118.257587",08268,Hillside Gardens,Los Angeles,California,1,1933,03 Subdivisions & Suburban Communities,target,,
"34.151946,-117.300854",08050,"Galbreath, George W.",San Bernardino,California,1,1925,03 Subdivisions & Suburban Communities,target,,
"39.000543,-76.484456",07593,Severnside,Boone,Maryland,1,1925,03 Subdivisions & Suburban Communities,target,,
"40.041776,-75.383452",02995,"Buch, C. A.",Wayne,Pennsylvania,1,1904,03 Subdivisions & Suburban Communities,target,,
"40.605286,-73.649597",03092,Barnum Island,Long Island,New York,1,1906,03 Subdivisions & Suburban Communities,target,,
"40.661303,-73.437767",07623,Nassau Shores,Long Island,New York,1,N.D.,03 Subdivisions & Suburban Communities,target,,
"41.0356,-71.955214",02636,Hither Hills,Montauk,New York,1,1904,03 Subdivisions & Suburban Communities,target,,
"41.072946,-73.589258",07863,Stamford Development,Stamford,Connecticut,1,1927,03 Subdivisions & Suburban Communities,target,,
"41.093389,-80.685997",10026,"Beecher, Ward Subdivision",Youngstown,Ohio,1,1956,03 Subdivisions & Suburban Communities,target,,
"41.287739,-73.589945",06594,Kings & Westchester Land Company,Lewisboro,New York,1,1912,03 Subdivisions & Suburban Communities,target,,
"42.276451,-83.713031",03622,"Carr, L. D.",Ann Arbor,Michigan,1,1912,03 Subdivisions & Suburban Communities,target,,
"42.31598,-71.137365",09068,"Wright, George H. Dr.",Brookline,Massachusetts,1,1929,03 Subdivisions & Suburban Communities,target,,
"42.338697,-71.124823",10023,Park Terrace Apartments,Brookline,Massachusetts,1,1955,03 Subdivisions & Suburban Communities,target,,
"42.47944,-83.822422",07823,Pleasant Lake Hills Corporation,Detroit,Michigan,1,1927,03 Subdivisions & Suburban Communities,target,,
"43.128207,-77.599912",03361,Ellwanger & Barry,Rochester,Massachusetts,1,1908,03 Subdivisions & Suburban Communities,target,,
To Be Determined,09307,Wyomissing Twin Group Dwellings,Wyomissing,Pennsylvania,1,1932,03 Subdivisions & Suburban Communities,target,,
To Be Determined,05260,Lovdal Manor,Sacramento,California,1,1911,03 Subdivisions & Suburban Communities,target,,
"38.267955,-85.677398",03054,Kentucky Title Company,Jefferson County,Kentucky,1,1905,03 Subdivisions & Suburban Communities,target,,
"42.143821,-72.561394",06197,East Springfield Homes Building Company,East Springfield,Massachusetts,1,1915,03 Subdivisions & Suburban Communities,target,,
"42.377164,-71.112412",07797,Kirkland Trust Company,Cambridge,Massachusetts,1,1927,03 Subdivisions & Suburban Communities,target,,
"41.527512,-70.992646",06227,"Vanderpool, E. N. Mrs.",Dartmouth,Massachusetts,1,1912,03 Subdivisions & Suburban Communities,target,,
"42.28858,-83.720244",03620,Felch Farm,Ann Arbor,Michigan,1,1911-1912,03 Subdivisions & Suburban Communities,target,,
"40.735877,-73.813709",06915,Flushing Country Club Land Company,Flushing,New York,1,1921,03 Subdivisions & Suburban Communities,target,,
To Be Determined,09548,"Law, Frances Mrs.",Rye,New York,1,1938,03 Subdivisions & Suburban Communities,target,,
To Be Determined,06354,Sewickley Heights Estate,Sewickley,Pennsylvania,1,1908,03 Subdivisions & Suburban Communities,target,,
"39.594049,-75.933015",02265,Jacob Tome Institute,Port Deposit,Maryland,1,1900,04 College & School Campuses,landmark,,
"39.766111,-84.201601",09638,Dayton Art Institute,Dayton,Ohio,1,1941,04 College & School Campuses,landmark,,
"39.821128,-84.912815",07405,Earlham College,Richmond,Indiana,1,1927,04 College & School Campuses,landmark,,
"40.762764,-74.422202",01383,Drew Theological Seminary,Madison,New Jersey,1,1893,04 College & School Campuses,landmark,,
"41.776489,-73.699433",03203,Bennett School (New),Irvington,New York,1,1907,04 College & School Campuses,landmark,,
"42.024814,-93.644371",03117,Iowa State College,Ames,Iowa,1,1903-1906,04 College & School Campuses,landmark,,
"42.295532,-71.308136",00251,Whitin Observatory,Wellesley,Massachusetts,1,1900,04 College & School Campuses,landmark,,
"42.331658,-71.127838",10192,Town of Brookline - Park Department; Manual Training High School,Brookline,Massachusetts,1,1965,04 College & School Campuses,landmark,,
"42.372147,-71.135681",09215,Brown & Nichols School,Cambridge,Massachusetts,1,1930,04 College & School Campuses,landmark,,
"42.374093,-71.111959",01455,Cambridge English High School,Cambridge,Massachusetts,1,1898,04 College & School Campuses,landmark,,
"42.37649,-71.113697",02263,New Church Theological Church,Cambridge,Massachusetts,1,1900,04 College & School Campuses,landmark,,
"42.38841,-72.527533",03441,Massachusetts Agricultural College,Amherst,Massachusetts,1,1866; 1911,04 College & School Campuses,landmark,,
"42.631212,-71.320109",01379,Abraham Lincoln Playground,Lowell,Massachusetts,1,1908,04 College & School Campuses,landmark,,
"42.819565,-75.536499",00679,Madison University,Hamilton,New York,1,1883,04 College & School Campuses,landmark,,
"43.905252,-69.960165",09092,Bowdoin College,Brunswick,Maine,1,1929,04 College & School Campuses,landmark,,
"45.899327,-64.374261",06753,Mount Allison University,Sackville,New Brunswick,1,1914,04 College & School Campuses,landmark,,
"47.700823,-117.085741",05389,Otis Orchards School,Spokane,Washington,1,1911,04 College & School Campuses,landmark,,
"38.265529,-85.543778",06304,Anchorage Public School,Anchorage,Kentucky,1,1915,04 College & School Campuses,landmark,,
"43.698026,-98.031168",06072,Dakota Wesleyan University,Mitchell,South Dakota,1,1914,04 College & School Campuses,landmark,,
"44.086907,-72.120745",05498,"Farwell, Julia H.",Wells River,Vermont,1,1915,04 College & School Campuses,landmark,,
"37.020475,-76.336166",06396,Hampton Normal & Agricultural Institute,Hampton,Virginia,1,1917,04 College & School Campuses,landmark,,
"41.698089,-72.713758",07318,Newington Home for Crippled Children,Newington,Connecticut,1,1924,05 Grounds of Residential Institutions,buildings,,
"41.709407,-72.212746",07555,Elks Home,Willimantic,Connecticut,1,1925,05 Grounds of Residential Institutions,buildings,,
"41.749648,-72.682146",12015,Hartford Insane Asylum (1/5),Hartford,Connecticut,1,N.D.,05 Grounds of Residential Institutions,buildings,,
"41.8348222, -71.4350577",07373,Homeopathic Hospital of Rhode Island,Providence,Rhode Island,1,1922,05 Grounds of Residential Institutions,buildings,,
"42.393608,-71.191406",00098,McLean Asylum,Belmont,Massachusetts,1,1923,05 Grounds of Residential Institutions,buildings,,
"42.455476,-71.069956",10380,"Congregational Retirement Homes II, Inc.",Melrose,Massachusetts,1,1971,05 Grounds of Residential Institutions,buildings,,
"42.710408,-73.209634",09892,Delta Phi Fraternity,Williamstown,Massachusetts,1,1955,05 Grounds of Residential Institutions,buildings,,
"41.635011,-70.92752",06006,New Bedford Free Public Library,New Bedford,Massachusetts,1,1914,06 Grounds of Public Buildings,museum,,
"42.366804,-71.106032",01453,City Hall - Cambridge,Cambridge,Massachusetts,1,1896,06 Grounds of Public Buildings,museum,,
"42.452397,-73.225862",07439,Lanesboro Public Library,Lanesboro,Massachusetts,1,1925,06 Grounds of Public Buildings,museum,,
"42.837206,-76.987424",06663,Geneva NY Chamber of Commerce,Geneva,New York,1,1919,06 Grounds of Public Buildings,museum,,
"44.228826,-71.751022",09541,Franconia Town Hall,Franconia,New Hampshire,1,1938,06 Grounds of Public Buildings,museum,,
"27.932332,-81.592047",06027,"Montgomery, R. H. Mrs.",Mountain Lake,Florida,1,1929,07 Private Estate & Homesteads,purple_circle,,
"27.936844,-81.580954",07635,"Douglas, J. H.",Mountain Lake,Florida,1,1926,07 Private Estate & Homesteads,purple_circle,,
"27.942986,-81.586103",07118,"Gribbel, John",Mountain Lake,Florida,1,1923,07 Private Estate & Homesteads,purple_circle,,
"38.030329,-84.485378",07685,McDowell (Ashland),Lexington,Kentucky,1,1926,07 Private Estate & Homesteads,purple_circle,,
"38.235012,-85.681772",05104,"Todd, J. Ross",Louisville,Kentucky,1,1911,07 Private Estate & Homesteads,purple_circle,,
"38.398115,-85.58075",10072,"Hickman, Baylor",Prospect,Kentucky,1,N.D.,07 Private Estate & Homesteads,purple_circle,,
"38.91167,-77.046249",02379,"Hornblower, J. C.",Washington,DC,1,1902,07 Private Estate & Homesteads,purple_circle,,
"38.969199,-77.081025",06533,"Smith, Franklin H.",Chevy Chase,Maryland,1,1917,07 Private Estate & Homesteads,purple_circle,,
"39.316288,-76.73506",03534,"Holton, Hart B. Mrs.",Baltimore,Maryland,1,1906,07 Private Estate & Homesteads,purple_circle,,
"39.391765, -76.696501",02445,Litter Louna,Baltimore,Maryland,1,1930,07 Private Estate & Homesteads,purple_circle,,
"39.938369,-76.719375",02970,"Frick, C. C.",York,Pennsylvania,1,1904,07 Private Estate & Homesteads,purple_circle,,
"40.072381,-75.215742",07727,"Austin, R. L.",Chestnut Hill,Pennsylvania,1,1927,07 Private Estate & Homesteads,purple_circle,,
"40.269408,-73.992641",02222,"Murphy, Franklin",Elberon,New Jersey,1,1899,07 Private Estate & Homesteads,purple_circle,,
"40.694598,-73.996605",09467,"Babbott, F. L. Jr. Mrs.",New York City,New York,1,1936,07 Private Estate & Homesteads,purple_circle,,
"40.725551,-73.200166",06265,"Johnson, Bradish",East Islip,New York,1,1915,07 Private Estate & Homesteads,purple_circle,,
"40.889704,-73.633933",09468,"Pratt, Richardson",Glen Cove,New York,1,1936,07 Private Estate & Homesteads,purple_circle,,
"40.892397,-73.62196",06293,"Porter, W. H.",Glen Cove,New York,1,1917,07 Private Estate & Homesteads,purple_circle,,
"40.900036,-73.369789",05100,"DeForest, Robert W.",Huntington,New York,1,1910-1911,07 Private Estate & Homesteads,purple_circle,,
"40.912102,-73.563488",09342,"Williams, Harrison",Bayville,New York,1,1929,07 Private Estate & Homesteads,purple_circle,,
"41.131252,-73.738604",09031,"Gorman, P. H.",New Castle,New York,1,1928,07 Private Estate & Homesteads,purple_circle,,
"41.144374,-73.740449",09029,"Willingham, W. A.",New Castle,New York,1,1928,07 Private Estate & Homesteads,purple_circle,,
"41.280999,-71.958389",09222,"Yates, Eugene A.",Fishers Island,New York,1,N.D.,07 Private Estate & Homesteads,purple_circle,,
"41.282259,-71.961133",07850,"Carpenter, W. S.",Fishers Island,New York,1,1927,07 Private Estate & Homesteads,purple_circle,,
"41.317479,-72.918663",00050,"Kingsbury, T. J. Jr.",New Haven,Connecticut,1,1902,07 Private Estate & Homesteads,purple_circle,,
"41.524905,-70.662453",10241,"Muellner, Mrs. Richard",Woods Hole,Massachusetts,1,1968,07 Private Estate & Homesteads,purple_circle,,
"41.573739,-83.626873",07906,"Tracy, Newton A.",Maumee,Ohio,1,1928,07 Private Estate & Homesteads,purple_circle,,
"41.631691,-70.400291",09662,"Lee, Halfdan Mrs.",Osterville,Massachusetts,1,1944,07 Private Estate & Homesteads,purple_circle,,
"41.65871,-72.797556",07325,"Moore, E. A.",New Britain,Connecticut,1,1924,07 Private Estate & Homesteads,purple_circle,,
"41.786209,-73.678844",06285,"Miller, Roswell Mrs.",Millbrook,New York,1,1915,07 Private Estate & Homesteads,purple_circle,,
"42.047612,-72.568857",09867,"Young, Wilbur",Longmeadow,Massachusetts,1,1949,07 Private Estate & Homesteads,purple_circle,,
"42.066714,-72.569214",07803,"Decker, Edward S. Jr.",Springfield,Massachusetts,1,1927,07 Private Estate & Homesteads,purple_circle,,
"42.0922,-71.186734",10577,"Grossman, Mr. & Mrs. Theodore",Sharon,Massachusetts,1,1977,07 Private Estate & Homesteads,purple_circle,,
"42.111448,-72.5799",05769,"Duryea, J. Frank",Springfield,Massachusetts,1,1913,07 Private Estate & Homesteads,purple_circle,,
"42.196795,-70.897543",10480,"Papuga, Dr. & Mrs. David G.",Hingham,Massachusetts,1,1973,07 Private Estate & Homesteads,purple_circle,,
"42.221065,-71.206856",10013,"Bailey, Mr. and Mrs. Vincent R.",Westwood,Massachusetts,1,1955,07 Private Estate & Homesteads,purple_circle,,
"42.23106,-71.2184",10602,"Doorly, Mr.& Mrs. Paul",Westwood,Massachusetts,1,1977,07 Private Estate & Homesteads,purple_circle,,
"42.23465,-71.218014",10494,"Robinson, Mr. & Mrs. Edward",Westwood,Massachusetts,1,1976,07 Private Estate & Homesteads,purple_circle,,
"42.236676,-71.108521",06824,"Brooks, Walter",Milton,Massachusetts,1,1923,07 Private Estate & Homesteads,purple_circle,,
"42.248359,-71.082251",02218,"Russell, H. S.",Milton,Massachusetts,1,1899,07 Private Estate & Homesteads,purple_circle,,
"42.265547,-71.807081",03296,"Eaton, Thomas B. Mrs.",Worcester,Massachusetts,1,1907,07 Private Estate & Homesteads,purple_circle,,
"42.27141,-71.079751",12507,Capen Farm,Dorchester,Massachusetts,1,1872,07 Private Estate & Homesteads,purple_circle,,
"42.289088,-83.693955",07604,"Goss, Alfred",Ann Arbor,Michigan,1,1926,07 Private Estate & Homesteads,purple_circle,,
"42.295336,-71.07226",01361,"Rogers, Dr. O.F.",Dorchester,Massachusetts,1,1893,07 Private Estate & Homesteads,purple_circle,,
"42.305321,-71.172599",10464,"Fogel, Dr. & Mrs. Berthram",Newton,Massachusetts,1,1973,07 Private Estate & Homesteads,purple_circle,,
"42.307134,-71.086658",02269,"Collar, William C.",Roxbury,Massachusetts,1,1900,07 Private Estate & Homesteads,purple_circle,,
"42.308482,-71.087031",01200,"Kendricken, P. H.",Roxbury,Massachusetts,1,1891,07 Private Estate & Homesteads,purple_circle,,
"42.310307,-71.295637",10401,"Malkasian, Mr. & Mrs. Henry",Wellesley Hills,Massachusetts,1,1972,07 Private Estate & Homesteads,purple_circle,,
